codigo_med,tipo_suministro,medicamento,categoria_eess,periodo,cantidad,precio_unitario,valor_2,stock_items,valor_4,consumo_items
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202404,129572,0.3322,4444,107907,15873,579623
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202405,108340,0.331,4518,94014,8752,564861
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202406,104165,0.3437,4117,80516,18008,595739
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202407,104537,0.3674,3293,89127,7961,587521
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202408,112695,0.3798,4447,100744,6262,585830
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202409,132899,0.3686,4497,118210,9041,576823
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202410,132174,0.3841,4174,118365,8288,569288
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202411,119079,0.3779,4078,95073,18526,566028
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202412,128630,0.32,4844,106349,16139,1088164
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202501,148478,0.3172,4530,130626,11945,1102257
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202502,142458,0.2927,4170,128263,8814,1044337
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202503,154368,0.2771,4875,138932,8562,1330377
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202504,167367,0.2702,5391,148037,10420,1274131
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202505,162260,0.2763,5075,146484,9283,1251648
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202506,153779,0.2781,4942,137059,9942,1234550
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202507,159463,1.5186,4842,142756,10273,1203676
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202508,155537,0.2758,4572,144044,5597,1150344
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202509,170454,0.2804,5810,156882,5724,1085197
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202510,160213,0.3258,4718,147256,6117,1031601
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202511,178563,0.2845,4372,164730,7656,1002367
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202512,153257,0.2948,4125,147227,360,1068440
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202601,156726,0.2917,4248,146426,4420,957902
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202602,155115,0.2948,3671,145629,3646,875445
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202603,173169,0.3204,3435,161553,5262,827131
04764,S,METOTREXATO  2.5 mg TABLETA,HOSPITAL,202604,150254,0.3596,3282,141234,4265,900502
