codigo,medicamento,consumo_total_items,consumo_secundario_items
03302,ETAMBUTOL CLORHIDRATO  400 mg TABLETA,90654,22736
30588,FRASCO COLECTOR PARA MUESTRA DE ORINA CON TAPA 100 mL   UNIDAD,83531,25859
19492,MANDILON DESCARTABLE TALLA M - - UNIDAD,78862,30497
05475,PIRAZINAMIDA  500 mg TABLETA,88461,20769
03747,GENTAMICINA (COMO SULFATO) 2 mL 80 mg/mL INYECTABLE,44086,65134
05872,SODIO CLORURO 100 mL 900 mg/100 mL (0.9 %) INYECTABLE,88465,19976
18520,"VACUNA RECOMBINANTE TETRAVALENTE CONTRA VIRUS DEL PAPILOMA HUMANO TIPO 6, 11, 16 Y 18 (VPH) 0.5 mL  INYECTABLE",76001,31040
06387,VACUNA CONTRA LA HEPATITIS B ADULTO 1 DOSIS 20 ug/mL INYECTABLE,56668,49474
29849,MASCARILLA DESCARTABLE TIPO N-95 - - UNIDAD,78252,26692
03760,GLICEROL 5 g 1 g/100 g GEL,102955,1000
16737,LLAVE DE TRIPLE VIA DESCARTABLE   UNIDAD,89679,13920
02654,DEXAMETASONA  500 µg (0.5 mg) TABLETA,30665,72283
04394,LIDOCAINA CLORHIDRATO + EPINEFRINA 1.8 mL 20 mg + 10 ug/mL INYECTABLE,85540,16747
41488,GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M   UNIDAD,96906,4310
03451,FENITOINA SODICA  100 mg TABLETA,84430,14857
54097,"VACUNA CONTRA EL DENGUE TETRAVALENTE ( SEROTIPOS 1,2,3 y 4) 1 DOSIS - INYECTABLE",92784,
06002,SULFAMETOXAZOL + TRIMETOPRIMA  400 mg + 80 mg TABLETA,15536,74307
00143,ACICLOVIR  200 mg TABLETA,48504,40515
04582,MEBENDAZOL 30 mL 100 mg/5 mL SUSPENSION,40396,47953
10384,BOTAS DESCARTABLES IMPERMEABLE   PAR,45185,43037
02055,CLORANFENICOL  500 mg TABLETA,17359,70385
00389,ALOPURINOL  100 mg TABLETA,82132,5603
38353,DILUYENTE PARA VACUNA ANTIVARICELA 1350 UFP/0.5 mL INY 0.7 mL   INYECTABLE,32476,53451
45074,EFAVIRENZ + LAMIVUDINA + TENOFOVIR  400 mg + 300 mg + 300 mg TABLETA,85410,
05281,PARACETAMOL 10 mL 100 mg/mL SOLUCION,44046,41041
28409,ISONIAZIDA + RIFAMPICINA  75 mg + 150 mg TABLETA,68753,16270
32251,VACUNA ANTIVARICELA 0.7 mL 1350 UFP/0.5 mL INYECTABLE,47433,35914
38562,TRIGLICERIDOS ENZIMATICO DET  KIT,68999,12311
28408,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA  275 mg  + 75 mg + 400 mg + 150 mg TABLETA,67563,12609
18091,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 150 mL 400 + 400 mg/5 mL SUSPENSION,46938,32606
46472,"VACUNA CONTRA COVID-19 (ARNm) nucleosidos modificados, PFIZER, PHARMACIA & UPJOHN COMPANY LLC EEUU(COMIRNATY) VIAL 0.45 mL x 6 DOSIS 30 ug/ 0.3 mL INYECTABLE",74586,2914
25983,"DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR) 1 DOSIS  INYECTABLE",54506,22091
06019,SULPIRIDA  200 mg TABLETA,74841,
22736,PRUEBA RAPIDA DE HORMONA GONADOTROPINA CORIONICA (HCG) 1 DET  KIT,35523,37292
30741,"HISOPO DE ALGODON CON MANGO DE MADERA ESTERIL 6""   UNIDAD",56026,14876
24919,GASA ESTERIL 5 cm X 5 cm X 5 UNIDADES   UNIDAD,35761,33790
20395,"AGUJA PARA EXTRACCION DE SANGRE AL VACIO 21 G X 1""   UNIDAD",64841,4395
46070,BOLSA DE POLIETILENO 50.8 µm X 50 cm X 70 cm COLOR ROJO   UNIDAD,31379,37461
27586,"AGUJA PARA EXTRACCION DE SANGRE AL VACIO 21 G X 1 1/2""   UNIDAD",65240,2642
17705,PRUEBA RAPIDA PARA VIH 1-2 1 DET - KIT,34190,33352
22030,PRESERVATIVO FEMENINO   UNIDAD,33250,33123
23904,CITOCEPILLO PARA PAPANICOLAU - - UNIDAD,41072,21557
03882,HALOPERIDOL  5 mg TABLETA,62554,
33891,MICROCUBETA DESCARTABLE PARA HEMOGLOBINOMETRO HEMOCUE HB 201   UNIDAD,36662,25606
