node_id,ipress_code,name,latitude,longitude,categoria,red,microred,nivel_atencion,district,province,geocode_confidence,demand_mean,demand_std,demand_cv,cold_chain_demand,service_time,tw_start,tw_end,sanitary_priority
2048,2048,PUESTO DE SALUD EL TAMBO,-4.8868634,-81.0031178,PUESTO DE SALUD,,,I-1,AMOTAPE,PAITA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2049,2049,CENTRO DE SALUD TAMARINDO,-4.8784025,-80.971709,CENTRO DE SALUD,,,I-3,TAMARINDO,PAITA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2050,2050,CENTRO DE SALUD QUERECOTILLO,-4.8378896,-80.6471156,CENTRO DE SALUD,,,I-3,QUERECOTILLO,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2052,2052,PUESTO DE SALUD SAN FRANCISCO DE CHOCAN,-4.7852623,-80.6101357,PUESTO DE SALUD,,,I-1,QUERECOTILLO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2056,2056,PUESTO DE SALUD PUENTE DE LOS SERRANOS,-4.7852623,-80.6101357,PUESTO DE SALUD,,,I-1,QUERECOTILLO,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2058,2058,CENTRO DE SALUD SALITRAL,-4.8598949,-80.6836031,CENTRO DE SALUD,,,I-3,SALITRAL,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2060,2060,CENTRO DE SALUD LANCONES,-4.6409943,-80.5492339,CENTRO DE SALUD,,,I-3,LANCONES,SULLANA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2065,2065,PUESTO DE SALUD EL ALAMOR,-4.7852623,-80.6101357,PUESTO DE SALUD,,,I-1,LANCONES,SULLANA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2073,2073,CENTRO DE SALUD JOSE ABELARDO QUINONES,-4.5944779,-81.255439,CENTRO DE SALUD,,,I-3,PARIÑAS,TALARA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2074,2074,CENTRO DE SALUD TALARA II,-4.5786801,-81.2717819,CENTRO DE SALUD,,,I-3,PARIÑAS,TALARA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2075,2075,CENTRO DE SALUD NEGRITOS,-4.6583979,-81.304085,CENTRO DE SALUD,,,I-3,LA BREA,TALARA,MEDIUM,500.0,100.0,0.2,0,30,08:00,16:00,3
2076,2076,PUESTO DE SALUD SAN PABLO,-4.6649291,-81.3106373,PUESTO DE SALUD,,,I-1,LA BREA,TALARA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
2077,2077,PUESTO DE SALUD LOBITOS,-4.4565304,-81.2749705,PUESTO DE SALUD,,,I-1,LOBITOS,TALARA,MEDIUM,200.0,50.0,0.25,0,15,08:00,16:00,2
